doctorid,name,address,phone
1,Eric Harris,0 Artisan Circle,33-(889)442-2770
2,Paul Tucker,09 Grim Terrace,47-(806)442-5239
3,Stephen Carter,577 Schurz Terrace,48-(463)578-6361
4,Tina Martinez,5 Del Sol Park,55-(565)533-6022
5,Walter Thompson,3 Dawn Lane,31-(998)651-0519
6,Joan Oliver,756 Old Shore Plaza,86-(263)454-7821
7,George Taylor,1 Warrior Way,86-(340)733-7465
8,William James,64959 Moose Park,86-(880)279-0781
9,Lois Gonzales,1626 Hovde Lane,380-(551)176-7222
10,Todd Myers,945 Meadow Valley Junction,420-(555)140-2827
11,Rebecca Armstrong,4 Ilene Way,970-(827)775-4909
12,Carol Robinson,2 Mitchell Street,55-(699)806-6952
13,Fred Vasquez,22504 Holmberg Pass,55-(228)152-9682
14,Rebecca Ramos,1688 Butternut Park,62-(810)485-1256
15,Rose Roberts,6734 Spaight Trail,420-(357)614-8823
16,Howard Nguyen,1605 Jay Junction,48-(328)717-3108
17,Melissa Fernandez,80 Schiller Pass,86-(748)456-2605
18,Debra Greene,19 Surrey Alley,7-(720)589-1413
19,Gloria Harper,03 Bunting Pass,86-(191)351-8435
20,Jesse Burke,756 Amoth Center,372-(193)599-5639
21,Eric Hunter,1 Comanche Park,225-(278)291-4313
22,Jane Vasquez,5929 Elmside Junction,358-(473)670-3281
23,Willie Morris,093 Morrow Parkway,63-(231)892-2108
24,Edward Reid,6385 Ilene Parkway,62-(544)959-1249
25,Ronald Edwards,16081 Myrtle Pass,62-(312)695-7169
26,Roy George,1471 Pawling Trail,1-(512)720-2088
27,Amy Burke,49104 Buena Vista Road,7-(180)754-7565
28,Judy Hawkins,90 Sage Court,7-(405)579-7525
29,Ashley Rogers,55 Bay Parkway,66-(524)367-9431
30,William Meyer,938 Continental Avenue,63-(357)266-0132
31,Willie Freeman,15668 Ronald Regan Terrace,46-(614)351-8777
32,Arthur Kelly,7 Glendale Avenue,52-(278)136-9861
33,Sandra Moore,390 Manitowish Drive,62-(949)222-4317
34,Evelyn Dunn,431 Derek Hill,27-(130)513-0715
35,Kathryn Moore,5 Lakewood Gardens Lane,51-(463)878-6204
36,Phillip Rose,7 Jana Parkway,30-(565)361-6986
37,Tammy Cook,1394 Crescent Oaks Way,504-(324)525-7626
38,Lawrence Wells,340 School Parkway,420-(157)511-1002
39,Fred Alexander,6 Northview Avenue,7-(740)726-2516
40,Catherine Foster,83 Prairieview Alley,351-(822)594-8242
41,Andrew Henry,8 Cherokee Park,351-(655)650-4446
42,Gregory Holmes,58768 Orin Lane,30-(428)473-2104
43,George Henry,826 Red Cloud Park,62-(380)143-7155
44,Martin Bell,37216 Gateway Road,57-(193)292-8536
45,Marie Ross,48292 Miller Lane,351-(514)533-1694
46,Sean Baker,95367 Everett Parkway,420-(670)773-1569
47,Kelly Nguyen,73 Farragut Junction,7-(355)947-8247
48,Melissa Oliver,2 Cody Point,86-(827)614-3779
49,Eric Berry,7550 Declaration Terrace,62-(512)317-5866
50,Brandon Foster,2 Anthes Way,62-(403)770-1683
51,Bruce Ortiz,18 Lien Pass,81-(346)847-8594
52,Denise Wood,4633 Merrick Court,351-(515)121-4473
53,Margaret Hayes,07 Longview Plaza,55-(651)757-1395
54,Susan Murray,56 Duke Point,55-(846)473-2349
55,Raymond Anderson,8 David Pass,352-(560)590-0373
56,Ruth Fields,4818 Gina Pass,1-(513)637-5241
57,Bruce Long,78178 Bobwhite Road,972-(605)144-3746
58,Irene Henry,7 Forster Pass,62-(512)837-7667
59,Douglas Olson,0 Birchwood Circle,33-(199)732-0635
60,Sara Martinez,318 Becker Road,355-(723)217-1105
61,Philip Jacobs,34581 Caliangt Point,48-(111)899-6679
62,Teresa Martin,03 Barnett Junction,7-(119)485-1146
63,Rebecca Mitchell,5575 Debs Street,86-(246)675-5686
64,Doris Freeman,24 Knutson Alley,86-(284)314-2213
65,Mark Jacobs,6202 Old Shore Lane,86-(249)428-9855
66,Willie Welch,792 Little Fleur Center,509-(948)890-9330
67,Amy Dean,9667 Old Gate Lane,36-(601)524-1013
68,Jose Mills,270 Stoughton Way,220-(504)356-1523
69,Fred Lawson,75849 Debra Avenue,30-(609)996-3964
70,Brian Fuller,307 Longview Street,62-(953)730-5263
71,Julia Burke,947 Laurel Hill,55-(727)380-9626
72,Justin Wilson,03 Kedzie Alley,51-(773)263-3809
73,Juan Willis,703 Colorado Trail,256-(395)808-5753
74,Willie Wallace,15 Fremont Hill,48-(873)119-7314
75,Johnny Fields,494 Declaration Trail,86-(580)599-4805
76,Victor Greene,2261 Granby Center,1-(408)254-3785
77,Irene Morrison,9244 Towne Crossing,93-(459)375-4612
78,Judy Reyes,4748 Becker Drive,62-(312)286-7482
79,Kelly Gibson,011 Londonderry Plaza,62-(736)808-5999
80,Brian Alvarez,42458 Scoville Avenue,506-(905)467-2047
81,Christina West,32 Mitchell Pass,86-(357)404-9155
82,George Wright,89 Armistice Hill,255-(485)727-6831
83,Stephanie Griffin,8 South Crossing,86-(975)759-8618
84,Cynthia Cole,36 Westport Circle,86-(620)319-9820
85,Douglas Cunningham,003 Toban Trail,92-(847)271-7352
86,Lois James,88159 Barnett Road,53-(737)601-5052
87,George Morrison,56484 Lakewood Gardens Trail,55-(934)997-2792
88,Theresa Nelson,3672 Hazelcrest Parkway,230-(485)429-4636
89,Julia Perkins,3598 Hoffman Court,63-(558)225-8234
90,Amy Hunt,728 Dapin Avenue,86-(878)899-9717
91,Kathy Reyes,2500 Maryland Pass,90-(270)115-2008
92,Maria Hawkins,25 Old Gate Road,86-(647)915-5498
93,Douglas Lawson,8 Swallow Point,55-(672)610-7192
94,Dennis Marshall,5 Fieldstone Circle,66-(749)883-9797
95,Judith Nguyen,06222 Commercial Pass,255-(328)683-2687
96,Ernest Greene,2730 Sutteridge Street,86-(357)761-4040
97,Rose Phillips,65 Fieldstone Avenue,33-(433)674-5238
98,Barbara Ramos,59779 Forest Dale Center,86-(939)708-7713
99,Jonathan Ortiz,59 Goodland Road,33-(813)310-0392
100,Amy Peters,0615 Saint Paul Parkway,86-(599)191-4858
101,Kimberly Reynolds,03 Schmedeman Hill,30-(658)125-6111
102,Eugene Richardson,1073 Kim Junction,351-(459)694-4905
103,Walter Greene,850 Scott Plaza,1-(668)143-3280
104,Brenda Frazier,2554 Nobel Avenue,504-(284)793-9135
105,Anthony Welch,31343 Sommers Terrace,1-(860)248-7036
106,Cynthia Ferguson,3132 Bartelt Parkway,33-(835)602-6868
107,Thomas Campbell,148 Ludington Road,62-(647)786-1947
108,Anne Burns,5 Parkside Court,33-(626)269-9439
109,Roy Clark,0 2nd Alley,62-(789)450-3610
110,Kathryn Sullivan,294 Springview Terrace,46-(100)108-4243
111,Phillip Diaz,3939 Brickson Park Junction,1-(206)673-7542
112,Cheryl Romero,2 Starling Lane,81-(919)115-5193
113,Sara Woods,8521 Sutherland Road,52-(310)119-6737
114,Kelly Edwards,56238 Talisman Crossing,420-(572)431-9902
115,Philip Ortiz,59 Fisk Drive,86-(823)134-8430
116,Terry Thompson,2 Claremont Plaza,86-(846)192-3449
117,Christine Burns,0 Dovetail Street,7-(812)595-3447
118,Anthony Wright,21514 Springs Hill,216-(630)426-8378
119,Henry Brooks,9064 Hermina Parkway,1-(786)832-9570
120,Sarah Fowler,887 Sunnyside Junction,212-(939)654-8036
121,Phillip Kelly,565 Dakota Crossing,234-(951)265-0676
122,Mark Brown,3 Bashford Street,30-(290)477-8688
123,Carolyn Perry,84 Buell Street,976-(413)466-0568
124,Thomas Hayes,10 Pond Drive,86-(569)449-9435
125,Bruce Burke,57225 Westport Pass,86-(469)935-7602
126,Chris Ray,26005 Barby Lane,86-(637)884-8365
127,Sandra Coleman,8 Rusk Street,1-(423)435-2364
128,Louis Hunt,3850 Vahlen Drive,62-(355)297-4389
129,Kelly Harvey,4 Maple Parkway,7-(937)138-6663
130,Maria Miller,8 Kingsford Parkway,84-(250)449-2834
131,Patrick Morris,5982 Canary Hill,86-(844)712-4974
132,Craig Cole,71669 Cascade Terrace,54-(888)993-0839
133,Barbara Hall,1 Loftsgordon Center,62-(693)585-5367
134,Kathy Grant,439 Sachs Terrace,55-(274)368-4792
135,Michael Taylor,641 Hallows Court,234-(823)125-8472
136,Keith Payne,7 Farragut Way,1-(407)331-8209
137,Eugene Lynch,55917 Prairieview Point,226-(576)395-5931
138,Laura Little,947 8th Drive,86-(964)715-4716
139,Edward Cooper,9 Mccormick Court,230-(106)802-2214
140,Harold Hudson,65 Quincy Plaza,420-(680)839-3063
141,Maria Castillo,91 Morningstar Park,63-(495)167-8912
142,Frank Mills,3 School Circle,994-(226)734-1170
143,Patrick Hughes,5 Melby Parkway,351-(602)283-4457
144,Ernest Lane,1938 Northridge Junction,86-(742)509-5980
145,Christine Mason,2761 Mosinee Parkway,33-(720)690-1154
146,Margaret Hamilton,53 Basil Hill,7-(984)639-1156
147,Charles Meyer,46 Mcbride Avenue,86-(772)979-3333
148,Judith Bell,6863 Lyons Lane,86-(183)278-9709
149,Doris Perry,529 Buhler Hill,33-(275)500-9556
150,Scott Taylor,550 Carey Place,86-(721)900-1349
